weight_g,450.000000
thrust_N,velocity_m_s,power_W
22.000000,4.000000,2337.556749
23.000000,4.000000,2454.023086
24.000000,4.000000,2573.277652
25.000000,4.000000,2695.320448
26.000000,4.000000,2815.776097
27.000000,4.000000,2932.011747
28.000000,4.000000,3050.551483
29.000000,4.000000,3171.395303
30.000000,4.000000,3294.543208
20.000000,4.500000,2117.562139
21.000000,4.500000,2228.727216
22.000000,4.500000,2342.688453
23.000000,4.500000,2459.445850
24.000000,4.500000,2578.999408
25.000000,4.500000,2701.349127
26.000000,4.500000,2821.301564
27.000000,4.500000,2937.765088
28.000000,4.500000,3056.537283
29.000000,4.500000,3177.618149
30.000000,4.500000,3301.007685
20.000000,5.000000,2122.139852
21.000000,5.000000,2233.580447
22.000000,5.000000,2347.825143
23.000000,5.000000,2464.873942
24.000000,5.000000,2584.726843
25.000000,5.000000,2707.383846
26.000000,5.000000,2826.831627
27.000000,5.000000,2943.523224
28.000000,5.000000,3062.528082
29.000000,5.000000,3183.846200
30.000000,5.000000,3307.477580
20.000000,5.500000,2126.746093
21.000000,5.500000,2238.472377
22.000000,5.500000,2353.011177
23.000000,5.500000,2470.362491
24.000000,5.500000,2590.526320
25.000000,5.500000,2713.502664
26.000000,5.500000,2832.450837
27.000000,5.500000,2949.400108
28.000000,5.500000,3068.668364
29.000000,5.500000,3190.255604
30.000000,5.500000,3314.161829
20.000000,6.000000,2131.356730
21.000000,6.000000,2243.369044
22.000000,6.000000,2358.202298
23.000000,6.000000,2475.856491
24.000000,6.000000,2596.331625
25.000000,6.000000,2719.627699
26.000000,6.000000,2838.074811
27.000000,6.000000,2955.282017
28.000000,6.000000,3074.813939
29.000000,6.000000,3196.670575
30.000000,6.000000,3320.851926
20.000000,6.500000,2135.996129
21.000000,6.500000,2248.299628
22.000000,6.500000,2363.432693
23.000000,6.500000,2481.395324
24.000000,6.500000,2602.187521
25.000000,6.500000,2725.809284
26.000000,6.500000,2843.740559
27.000000,6.500000,2961.204311
28.000000,6.500000,3080.998436
29.000000,6.500000,3203.122936
30.000000,6.500000,3327.577809
20.000000,7.000000,2140.639980
21.000000,7.000000,2253.235012
22.000000,7.000000,2368.668248
23.000000,7.000000,2486.939690
24.000000,7.000000,2608.049337
25.000000,7.000000,2731.997190
26.000000,7.000000,2849.411135
27.000000,7.000000,2967.131692
28.000000,7.000000,3087.188289
29.000000,7.000000,3209.580924
30.000000,7.000000,3334.309599
20.000000,7.500000,2145.613964
21.000000,7.500000,2258.452448
22.000000,7.500000,2374.134943
23.000000,7.500000,2492.661450
24.000000,7.500000,2614.031969
25.000000,7.500000,2738.246499
26.000000,7.500000,2855.122600
27.000000,7.500000,2973.098516
28.000000,7.500000,3093.416063
29.000000,7.500000,3216.075241
30.000000,7.500000,3341.076049
20.000000,8.000000,2150.593102
21.000000,8.000000,2263.675283
22.000000,8.000000,2379.607288
23.000000,8.000000,2498.389116
24.000000,8.000000,2620.020767
25.000000,8.000000,2744.502241
26.000000,8.000000,2860.838956
27.000000,8.000000,2979.070489
28.000000,8.000000,3099.649252
29.000000,8.000000,3222.575244
30.000000,8.000000,3347.848465
20.000000,8.500000,2155.708781
21.000000,8.500000,2269.055966
22.000000,8.500000,2385.259834
23.000000,8.500000,2504.320387
24.000000,8.500000,2626.237624
25.000000,8.500000,2750.457729
26.000000,8.500000,2866.784078
27.000000,8.500000,2985.234999
28.000000,8.500000,3106.036952
29.000000,8.500000,3229.189936
30.000000,8.500000,3354.693953
20.000000,9.000000,2160.829931
21.000000,9.000000,2274.442430
22.000000,9.000000,2390.918482
23.000000,9.000000,2510.258088
24.000000,9.000000,2632.461246
25.000000,9.000000,2756.419001
26.000000,9.000000,2872.734640
27.000000,9.000000,2991.405115
28.000000,9.000000,3112.430428
29.000000,9.000000,3235.810577
30.000000,9.000000,3361.545564
20.000000,9.500000,2165.984930
21.000000,9.500000,2279.878512
22.000000,9.500000,2396.643272
23.000000,9.500000,2516.279211
24.000000,9.500000,2638.786329
25.000000,9.500000,2762.260460
26.000000,9.500000,2878.821590
27.000000,9.500000,2997.742638
28.000000,9.500000,3119.023605
29.000000,9.500000,3242.664490
19.000000,10.000000,2059.849278
20.000000,10.000000,2171.145476
21.000000,10.000000,2285.320489
22.000000,10.000000,2402.374317
23.000000,10.000000,2522.306959
24.000000,10.000000,2645.118415
25.000000,10.000000,2768.107414
26.000000,10.000000,2884.914281
27.000000,10.000000,3004.086153
28.000000,10.000000,3125.623031
29.000000,10.000000,3249.524914
19.000000,10.500000,2064.881909
20.000000,10.500000,2176.434360
21.000000,10.500000,2290.872163
22.000000,10.500000,2408.195320
23.000000,10.500000,2528.403829
24.000000,10.500000,2651.497691
25.000000,10.500000,2773.980126
26.000000,10.500000,2891.038913
27.000000,10.500000,3010.468036
28.000000,10.500000,3132.267497
29.000000,10.500000,3256.437294
19.000000,11.000000,2069.920083
20.000000,11.000000,2181.729084
21.000000,11.000000,2296.429983
22.000000,11.000000,2414.022780
23.000000,11.000000,2534.507475
24.000000,11.000000,2657.884069
25.000000,11.000000,2779.858377
26.000000,11.000000,2897.169345
27.000000,11.000000,3016.855986
28.000000,11.000000,3138.918301
29.000000,11.000000,3263.356290
19.000000,11.500000,2075.238871
20.000000,11.500000,2187.263851
21.000000,11.500000,2302.184705
22.000000,11.500000,2420.001434
23.000000,11.500000,2540.714039
24.000000,11.500000,2664.322518
25.000000,11.500000,2785.762223
26.000000,11.500000,2903.326652
27.000000,11.500000,3023.272120
28.000000,11.500000,3145.598627
