weight_g,219.000000
thrust_N,velocity_m_s,power_W
95.000000,1.000000,2081.519838
96.000000,1.000000,2114.375626
97.000000,1.000000,2147.468616
98.000000,1.000000,2180.798810
99.000000,1.000000,2214.366207
100.000000,1.000000,2248.170807
41.000000,1.500000,608.797537
42.000000,1.500000,629.818292
43.000000,1.500000,651.162680
44.000000,1.500000,672.830703
45.000000,1.500000,694.822359
46.000000,1.500000,717.137649
47.000000,1.500000,739.776573
48.000000,1.500000,762.739131
49.000000,1.500000,786.025323
50.000000,1.500000,809.635149
51.000000,1.500000,833.568609
52.000000,1.500000,857.825703
53.000000,1.500000,882.184755
54.000000,1.500000,906.621510
55.000000,1.500000,931.366641
56.000000,1.500000,956.420148
57.000000,1.500000,981.782032
58.000000,1.500000,1007.452291
59.000000,1.500000,1033.430927
60.000000,1.500000,1059.717939
61.000000,1.500000,1086.313327
62.000000,1.500000,1113.217091
63.000000,1.500000,1140.429232
64.000000,1.500000,1167.184567
65.000000,1.500000,1193.694313
66.000000,1.500000,1220.475902
67.000000,1.500000,1247.529334
68.000000,1.500000,1274.854609
69.000000,1.500000,1302.451727
70.000000,1.500000,1330.320688
71.000000,1.500000,1358.461491
72.000000,1.500000,1386.874138
73.000000,1.500000,1415.558628
74.000000,1.500000,1444.226727
75.000000,1.500000,1472.728300
76.000000,1.500000,1501.484145
77.000000,1.500000,1530.494260
78.000000,1.500000,1559.758648
79.000000,1.500000,1589.277306
80.000000,1.500000,1619.050236
81.000000,1.500000,1649.077436
82.000000,1.500000,1679.358909
83.000000,1.500000,1709.894652
84.000000,1.500000,1740.684667
85.000000,1.500000,1771.728952
86.000000,1.500000,1803.027510
87.000000,1.500000,1834.580338
88.000000,1.500000,1866.387438
89.000000,1.500000,1898.448808
90.000000,1.500000,1930.764451
91.000000,1.500000,1963.334364
92.000000,1.500000,1996.080152
93.000000,1.500000,2028.609933
94.000000,1.500000,2061.182360
95.000000,1.500000,2093.993757
96.000000,1.500000,2127.044124
97.000000,1.500000,2160.333462
98.000000,1.500000,2193.861770
99.000000,1.500000,2227.629047
100.000000,1.500000,2261.635296
40.000000,2.000000,592.967620
41.000000,2.000000,613.809479
42.000000,2.000000,634.977441
43.000000,2.000000,656.471505
44.000000,2.000000,678.291672
45.000000,2.000000,700.437942
46.000000,2.000000,722.910314
47.000000,2.000000,745.708789
48.000000,2.000000,768.833367
49.000000,2.000000,792.284048
50.000000,2.000000,816.060831
51.000000,2.000000,840.163716
52.000000,2.000000,864.592704
53.000000,2.000000,888.981787
54.000000,2.000000,913.557113
55.000000,2.000000,938.442189
56.000000,2.000000,963.637012
57.000000,2.000000,989.141584
58.000000,2.000000,1014.955905
59.000000,2.000000,1041.079974
60.000000,2.000000,1067.513792
61.000000,2.000000,1094.257358
62.000000,2.000000,1121.310672
63.000000,2.000000,1148.673735
64.000000,2.000000,1175.203008
65.000000,2.000000,1201.879990
66.000000,2.000000,1228.830831
67.000000,2.000000,1256.055531
68.000000,2.000000,1283.554089
69.000000,2.000000,1311.326507
70.000000,2.000000,1339.372783
71.000000,2.000000,1367.692919
72.000000,2.000000,1396.286913
73.000000,2.000000,1425.154767
74.000000,2.000000,1453.753054
75.000000,2.000000,1482.394630
76.000000,2.000000,1511.291474
77.000000,2.000000,1540.443584
78.000000,2.000000,1569.850962
79.000000,2.000000,1599.513607
80.000000,2.000000,1629.431519
81.000000,2.000000,1659.604698
82.000000,2.000000,1690.033144
83.000000,2.000000,1720.716858
84.000000,2.000000,1751.655838
85.000000,2.000000,1782.850086
86.000000,2.000000,1814.299601
87.000000,2.000000,1846.004383
88.000000,2.000000,1877.964432
89.000000,2.000000,1910.179748
90.000000,2.000000,1942.650331
91.000000,2.000000,1975.376182
92.000000,2.000000,2008.199757
93.000000,2.000000,2040.723154
94.000000,2.000000,2073.487293
95.000000,2.000000,2106.492176
96.000000,2.000000,2139.737803
97.000000,2.000000,2173.224172
98.000000,2.000000,2206.951285
99.000000,2.000000,2240.919141
100.000000,2.000000,2275.127740
40.000000,2.500000,597.968529
41.000000,2.500000,618.956619
42.000000,2.500000,640.273217
43.000000,2.500000,661.918325
44.000000,2.500000,683.891941
45.000000,2.500000,706.194066
46.000000,2.500000,728.824700
47.000000,2.500000,751.783842
48.000000,2.500000,775.071494
49.000000,2.500000,798.687654
50.000000,2.500000,822.632324
51.000000,2.500000,846.905502
52.000000,2.500000,871.424266
53.000000,2.500000,895.891135
54.000000,2.500000,920.607007
55.000000,2.500000,945.633980
56.000000,2.500000,970.972053
57.000000,2.500000,996.621227
58.000000,2.500000,1022.581501
59.000000,2.500000,1048.852876
60.000000,2.500000,1075.435351
61.000000,2.500000,1102.328927
62.000000,2.500000,1129.533603
63.000000,2.500000,1156.745389
64.000000,2.500000,1183.378636
65.000000,2.500000,1210.224328
66.000000,2.500000,1237.345872
67.000000,2.500000,1264.743267
