battery_cap_Wh,M3_points,banner_length_in,laps,status
30.0,79.04676515311203,19.72209192520515,3.9999999999525473,optimal
31.0,99.63236986071037,24.553340963386894,3.999999995813986,optimal
32.0,118.92191163008205,29.015620138539447,3.9999999996507976,optimal
33.0,137.4373181944776,33.357877940372134,3.9999999997204254,optimal
34.0,155.28378685219155,37.689949997535756,3.9999999998702798,optimal
35.0,172.64126129591645,41.89138529560357,3.999999999892683,optimal
36.0,189.6646744013605,45.998679983241956,3.999999996653133,optimal
37.0,206.4581877881133,50.03670333969598,3.9999999968595397,optimal
38.0,223.09576399272902,54.023413081733764,3.9999999956825123,optimal
39.0,239.6312053761742,57.97204260269693,3.9999999941433764,optimal
40.0,256.10412268389143,61.892427743814196,3.9999999998881677,optimal
41.0,272.5462166435309,65.79282646671304,3.9999999998488027,optimal
42.0,288.9806207074987,69.67923534059676,3.9999999998106794,optimal
43.0,305.42578529438725,73.55661721323767,3.999999999773446,optimal
44.0,321.8962242647444,77.4289943792011,3.999999999746218,optimal
45.0,338.4034144680396,81.29965826033325,3.9999999996478124,optimal
46.0,354.9564496938466,85.17132024599645,3.9999999995422044,optimal
47.0,371.5625449228194,89.04624588424872,3.999999999444487,optimal
48.0,388.2274092423679,92.9264065923139,3.999999999504829,optimal
49.0,404.9554920700635,96.81367049229834,3.999999999939855,optimal
50.0,421.75021316839576,100.72636939116981,3.999999999868149,optimal
51.0,438.5960683046446,104.70975141384184,3.999999999932583,optimal
52.0,455.4749910306757,108.720871163554,3.999999999890278,optimal
53.0,472.3887575838187,112.73927075802305,3.999999999927854,optimal
54.0,489.34068012639347,116.76571747454612,3.9999999955712884,optimal
55.0,506.33041955094944,120.79824533401026,3.9999999961164736,optimal
56.0,523.3600473396261,124.8387881018339,3.999999994951219,optimal
57.0,540.4304082907051,128.88753737698528,3.999999992773093,optimal
58.0,557.5420908343087,132.9447142455494,3.9999999912222766,optimal
59.0,574.693424495693,137.00947531578223,3.999999999819681,optimal
60.0,591.8884204375912,141.08402144367028,3.999999999771858,optimal
61.0,609.1252036958698,145.1674772009476,3.999999999735322,optimal
62.0,626.4036108467665,149.25991991042036,3.9999999997058753,optimal
63.0,643.7233627425051,153.36139418947607,3.999999999683575,optimal
64.0,661.0840867218134,157.4719182587906,3.9999999996485505,optimal
65.0,678.4853270952561,161.59148429949045,3.9999999996270335,optimal
66.0,695.926568337326,165.72006717189154,3.999999999606235,optimal
67.0,713.4072412172662,169.85762407432233,3.9999999995851105,optimal
68.0,730.9267347932549,174.00409799653397,3.999999999567618,optimal
69.0,748.4844086780658,178.15942185266465,3.999999999536806,optimal
70.0,766.0795934224637,182.32351631747443,3.9999999995102087,optimal
71.0,783.7116036465776,186.49629533481442,3.9999999994876916,optimal
72.0,801.3797415765064,190.67766640047333,3.999999999469056,optimal
73.0,819.083300923461,194.86753212254536,3.9999999994149444,optimal
74.0,836.8215733801592,199.06579066676017,3.9999999993505373,optimal
75.0,854.5938503520293,203.27233727900494,3.999999999285773,optimal
76.0,872.3994259685179,207.48706507981979,3.9999999992212425,optimal
77.0,890.2375842854026,211.70985596658016,3.999999999296273,optimal
78.0,908.1078514230943,215.94073445563708,3.9999999974882474,optimal
79.0,926.0092414002653,220.17940421901744,3.9999999967862507,optimal
80.0,943.941159461308,224.42580776182544,3.999999996322158,optimal
81.0,961.9029662400659,228.67984741172484,3.9999999960030532,optimal
82.0,979.8940374295277,232.9414310464098,3.999999995584645,optimal
83.0,997.9137164355619,237.2104406803533,3.99999999513272,optimal
84.0,1015.9613878205232,241.48677359575464,3.9999999946805955,optimal
85.0,1034.0364415395775,245.77032460964364,3.9999999942569104,optimal
86.0,1052.1382870548284,250.06099314893925,3.999999993859995,optimal
87.0,1070.2663499183122,254.3586811924473,3.999999993487286,optimal
88.0,1088.4200696141759,258.6632923814205,3.9999999931430477,optimal
89.0,1106.5989006783577,262.97473266685586,3.9999999928332093,optimal
90.0,1124.8023126485723,267.2929104153837,3.999999992565483,optimal
91.0,1143.02978995164,271.61773650662246,3.999999992349598,optimal
92.0,1161.2808317457407,275.9491244406773,3.9999999921976297,optimal
93.0,1179.5549517423835,280.286990494705,3.9999999921243967,optimal
94.0,1197.8516982183055,284.6312613605881,3.999999992297128,optimal
95.0,1216.170643175051,288.98187432872794,3.9999999928141357,optimal
96.0,1234.5114308146674,293.33881930237544,3.999999993237611,optimal
97.0,1252.8736587578717,297.70211039701,3.9999999918457148,optimal
98.0,1271.2568048979265,302.07161934889837,3.999999990522401,optimal
99.0,1289.660785963484,306.44770587135326,3.9999999873358565,optimal
100.0,1308.0851233460323,310.8308833543032,3.9999999823865293,optimal
